year,value,edu_encoded,area_clean_นอกเขตเทศบาล,area_clean_รวม,area_clean_เขตเทศบาล,sex_clean_ชาย,sex_clean_รวม,sex_clean_หญิง,quarter1,quarter2,quarter3,quarter4
2567,83.8,7,0,1,0,0,1,0,0,1,0,0
2567,84.4,8,0,1,0,0,1,0,0,1,0,0
2567,66.8,9,0,1,0,0,1,0,0,1,0,0
2567,94.1,10,0,1,0,0,1,0,0,1,0,0
2567,80.8,11,0,1,0,0,1,0,0,1,0,0
2567,76.9,12,0,1,0,1,0,0,0,1,0,0
2567,66.4,0,0,1,0,1,0,0,0,1,0,0
2567,58.3,1,0,1,0,1,0,0,0,1,0,0
2567,84.6,2,0,1,0,1,0,0,0,1,0,0
2567,72.9,3,0,1,0,1,0,0,0,1,0,0
2567,80.1,4,0,1,0,1,0,0,0,1,0,0
2567,76.7,5,0,1,0,1,0,0,0,1,0,0
2567,80.4,6,0,1,0,1,0,0,0,1,0,0
2567,85.6,7,0,1,0,1,0,0,0,1,0,0
2567,89.3,8,0,1,0,1,0,0,0,1,0,0
2567,63.6,9,0,1,0,1,0,0,0,1,0,0
2567,97.1,10,0,1,0,1,0,0,0,1,0,0
2567,85.4,11,0,1,0,1,0,0,0,1,0,0
2567,59.7,12,0,1,0,0,0,1,0,1,0,0
2567,40,0,0,1,0,0,0,1,0,1,0,0
2567,34.9,1,0,1,0,0,0,1,0,1,0,0
2567,66.6,2,0,1,0,0,0,1,0,1,0,0
2567,54.6,3,0,1,0,0,0,1,0,1,0,0
2567,64,4,0,1,0,0,0,1,0,1,0,0
2567,63.9,5,0,1,0,0,0,1,0,1,0,0
2567,55.1,6,0,1,0,0,0,1,0,1,0,0
2567,82.6,7,0,1,0,0,0,1,0,1,0,0
2567,78,8,0,1,0,0,0,1,0,1,0,0
2567,68.2,9,0,1,0,0,0,1,0,1,0,0
2567,91.5,10,0,1,0,0,0,1,0,1,0,0
2567,76.1,11,0,1,0,0,0,1,0,1,0,0
2567,68.8,12,0,0,1,0,1,0,0,1,0,0
2567,56.7,0,0,0,1,0,1,0,0,1,0,0
2567,42.5,1,0,0,1,0,1,0,0,1,0,0
2567,74.6,2,0,0,1,0,1,0,0,1,0,0
2567,65.3,3,0,0,1,0,1,0,0,1,0,0
2567,68.7,4,0,0,1,0,1,0,0,1,0,0
2567,69.6,5,0,0,1,0,1,0,0,1,0,0
2567,65.9,6,0,0,1,0,1,0,0,1,0,0
2567,82.7,7,0,0,1,0,1,0,0,1,0,0
2567,83.5,8,0,0,1,0,1,0,0,1,0,0
2567,62.8,9,0,0,1,0,1,0,0,1,0,0
2567,95.4,10,0,0,1,0,1,0,0,1,0,0
2567,77.7,11,0,0,1,0,1,0,0,1,0,0
2567,76.5,12,0,0,1,1,0,0,0,1,0,0
2567,76.6,0,0,0,1,1,0,0,0,1,0,0
2567,55.2,1,0,0,1,1,0,0,0,1,0,0
2567,83.1,2,0,0,1,1,0,0,0,1,0,0
2567,73,3,0,0,1,1,0,0,0,1,0,0
2567,75.5,4,0,0,1,1,0,0,0,1,0,0
2567,75.4,5,0,0,1,1,0,0,0,1,0,0
2567,93.9,6,0,0,1,1,0,0,0,1,0,0
2567,84.1,7,0,0,1,1,0,0,0,1,0,0
2567,87.9,8,0,0,1,1,0,0,0,1,0,0
2567,62.2,9,0,0,1,1,0,0,0,1,0,0
2567,98.5,10,0,0,1,1,0,0,0,1,0,0
2567,83.7,11,0,0,1,1,0,0,0,1,0,0
2567,62,12,0,0,1,0,0,1,0,1,0,0
2567,44,0,0,0,1,0,0,1,0,1,0,0
2567,34.9,1,0,0,1,0,0,1,0,1,0,0
2567,65.8,2,0,0,1,0,0,1,0,1,0,0
2567,56.7,3,0,0,1,0,0,1,0,1,0,0
2567,62,4,0,0,1,0,0,1,0,1,0,0
2567,62.3,5,0,0,1,0,0,1,0,1,0,0
2567,50.9,6,0,0,1,0,0,1,0,1,0,0
2567,81.7,7,0,0,1,0,0,1,0,1,0,0
2567,78,8,0,0,1,0,0,1,0,1,0,0
2567,63,9,0,0,1,0,0,1,0,1,0,0
2567,92.7,10,0,0,1,0,0,1,0,1,0,0
2567,71.7,11,0,0,1,0,0,1,0,1,0,0
2567,67.1,12,1,0,0,0,1,0,0,1,0,0
2567,45.3,0,1,0,0,0,1,0,0,1,0,0
2567,45.1,1,1,0,0,0,1,0,0,1,0,0
2567,76.9,2,1,0,0,0,1,0,0,1,0,0
2567,63.8,3,1,0,0,0,1,0,0,1,0,0
2567,74.9,4,1,0,0,0,1,0,0,1,0,0
2567,73.2,5,1,0,0,0,1,0,0,1,0,0
2567,63.4,6,1,0,0,0,1,0,0,1,0,0
2567,85.9,7,1,0,0,0,1,0,0,1,0,0
2567,85.4,8,1,0,0,0,1,0,0,1,0,0
2567,71.5,9,1,0,0,0,1,0,0,1,0,0
2567,93.2,10,1,0,0,0,1,0,0,1,0,0
2567,89.9,11,1,0,0,0,1,0,0,1,0,0
2567,77.3,12,1,0,0,1,0,0,0,1,0,0
2567,59.3,0,1,0,0,1,0,0,0,1,0,0
2567,59.9,1,1,0,0,1,0,0,0,1,0,0
2567,85.5,2,1,0,0,1,0,0,0,1,0,0
2567,72.8,3,1,0,0,1,0,0,0,1,0,0
2567,84.5,4,1,0,0,1,0,0,0,1,0,0
2567,78.4,5,1,0,0,1,0,0,0,1,0,0
2567,55.6,6,1,0,0,1,0,0,0,1,0,0
2567,88.6,7,1,0,0,1,0,0,0,1,0,0
